brand,item,price,img_url,product_url
J.Crew,Pajama pant in flannel print,$59.50,"https://www.jcrew.com/s7-img-facade/AT496_PA8429?fmt=jpeg&qlt=90,0&resMode=sharp&op_usm=.1,0,0,0&crop=0,0,0,0&wid=480&hei=480",https://www.jcrew.com/m/mens_category/pajamas_and_loungewear/pajama_bottoms/flannel-lounge-pant/MP437?color_name=hthr-grey
J.Crew,Pajama pant in flannel print,$59.50,"https://www.jcrew.com/s7-img-facade/AT254_PA8420?fmt=jpeg&qlt=90,0&resMode=sharp&op_usm=.1,0,0,0&crop=0,0,0,0&wid=480&hei=480",https://www.jcrew.com/m/mens_category/pajamas_and_loungewear/pajama_bottoms/flannel-lounge-pant/MP437?color_name=sweater-dogs-multi-color
J.Crew,Flannel pajama pant in Stewart tartan,$59.50,"https://www.jcrew.com/s7-img-facade/K1278_KA2286?fmt=jpeg&qlt=90,0&resMode=sharp&op_usm=.1,0,0,0&crop=0,0,0,0&wid=480&hei=480",https://www.jcrew.com/m/mens_category/pajamas_and_loungewear/pajama_bottoms/flannel-lounge-pant/MP437?color_name=black-red-multi
J.Crew,Pajama pant in flannel plaid,$59.50,"https://www.jcrew.com/s7-img-facade/AT251_WZ0629?fmt=jpeg&qlt=90,0&resMode=sharp&op_usm=.1,0,0,0&crop=0,0,0,0&wid=480&hei=480",https://www.jcrew.com/m/mens_category/pajamas_and_loungewear/pajama_bottoms/flannel-lounge-pant/MP437?color_name=boston-black-watch-navy
J.Crew,Pajama pant in flannel plaid,$59.50,"https://www.jcrew.com/s7-img-facade/AT250_WZ0628?fmt=jpeg&qlt=90,0&resMode=sharp&op_usm=.1,0,0,0&crop=0,0,0,0&wid=480&hei=480",https://www.jcrew.com/m/mens_category/pajamas_and_loungewear/pajama_bottoms/flannel-lounge-pant/MP437?color_name=santa-buffalo-check-red
J.Crew,Pajama pant in flannel plaid,$59.50,"https://www.jcrew.com/s7-img-facade/AT253_WZ0630?fmt=jpeg&qlt=90,0&resMode=sharp&op_usm=.1,0,0,0&crop=0,0,0,0&wid=480&hei=480",https://www.jcrew.com/m/mens_category/pajamas_and_loungewear/pajama_bottoms/flannel-lounge-pant/MP437?color_name=block-plaid-black-grey-h
J.Crew,Flannel lounge pant in buffalo check,$59.50,"https://www.jcrew.com/s7-img-facade/AD497_WX8063?fmt=jpeg&qlt=90,0&resMode=sharp&op_usm=.1,0,0,0&crop=0,0,0,0&wid=480&hei=480",https://www.jcrew.com/m/mens_category/pajamas_and_loungewear/pajama_bottoms/flannel-lounge-pant/MP437?color_name=buffalo-check-grey-navy
J.Crew,Flannel lounge pant in snowy Stewart tartan,$59.50,"https://www.jcrew.com/s7-img-facade/AE573_WQ6295?fmt=jpeg&qlt=90,0&resMode=sharp&op_usm=.1,0,0,0&crop=0,0,0,0&wid=480&hei=480",https://www.jcrew.com/m/mens_category/pajamas_and_loungewear/pajama_bottoms/flannel-lounge-pant/MP437?color_name=white-out-plaid-red-navy
J.Crew,Double-knit jogger lounge pant,$69.50,"https://www.jcrew.com/s7-img-facade/AT359_HT0469?fmt=jpeg&qlt=90,0&resMode=sharp&op_usm=.1,0,0,0&crop=0,0,0,0&wid=480&hei=480",https://www.jcrew.com/p/mens_category/pajamas_and_loungewear/pajama_bottoms/doubleknit-jogger-lounge-pant/AT359?color_name=marled-forest
J.Crew,Double-knit jogger lounge pant,$69.50,"https://www.jcrew.com/s7-img-facade/AT359_HT0467?fmt=jpeg&qlt=90,0&resMode=sharp&op_usm=.1,0,0,0&crop=0,0,0,0&wid=480&hei=480",https://www.jcrew.com/p/mens_category/pajamas_and_loungewear/pajama_bottoms/doubleknit-jogger-lounge-pant/AT359?color_name=marled-navy
J.Crew,Jersey pajama pant,$49.50,"https://www.jcrew.com/s7-img-facade/F9168_BL8133?fmt=jpeg&qlt=90,0&resMode=sharp&op_usm=.1,0,0,0&crop=0,0,0,0&wid=480&hei=480",https://www.jcrew.com/p/mens_category/pajamas_and_loungewear/pajama_bottoms/jersey-pajama-pant/F9168?color_name=navy
J.Crew,Jersey pajama pant,$49.50,"https://www.jcrew.com/s7-img-facade/F9168_GY6467?fmt=jpeg&qlt=90,0&resMode=sharp&op_usm=.1,0,0,0&crop=0,0,0,0&wid=480&hei=480",https://www.jcrew.com/p/mens_category/pajamas_and_loungewear/pajama_bottoms/jersey-pajama-pant/F9168?color_name=hthr-flannel
